time,algo,unpaid_total_amount,unpaid_algo_amount,profitability,balance
10/11/2021 17:10,20,0.00000611,0.00000611,0.00002304,
10/11/2021 17:05,20,0.00000603,0.00000603,0.0000288,
10/11/2021 17:00,20,0.00000593,0.00000593,0.0000144,
10/11/2021 16:55,20,0.00000588,0.00000588,0.00002016,
10/11/2021 16:50,20,0.00000581,0.00000581,0.0000288,
10/11/2021 16:45,20,0.00000571,0.00000571,0.00002592,
10/11/2021 16:40,20,0.00000562,0.00000562,0.00002304,
10/11/2021 16:35,20,0.00000554,0.00000554,0.00002592,
10/11/2021 16:30,20,0.00000545,0.00000545,0.00001728,
10/11/2021 16:25,20,0.00000539,0.00000539,0.00003744,
10/11/2021 16:20,20,0.00000526,0.00000526,0.00002016,
10/11/2021 16:15,20,0.00000519,0.00000519,0.0000288,
10/11/2021 16:10,20,0.00000509,0.00000509,0.00002592,
10/11/2021 16:05,20,0.000005,0.000005,0.00002304,
10/11/2021 16:00,20,0.00000492,0.00000492,0.00002304,
10/11/2021 15:55,20,0.00000484,0.00000484,0.0000288,
10/11/2021 15:50,20,0.00000474,0.00000474,0.00002304,
10/11/2021 15:45,20,0.00000466,0.00000466,0.00002304,
10/11/2021 15:40,20,0.00000458,0.00000458,0.00002592,
10/11/2021 15:35,20,0.00000449,0.00000449,0.00002304,
10/11/2021 15:30,20,0.00000441,0.00000441,0.00002016,
10/11/2021 15:25,20,0.00000434,0.00000434,0.00002304,
10/11/2021 15:20,20,0.00000426,0.00000426,0.00002304,
10/11/2021 15:15,20,0.00000418,0.00000418,0.00002304,
10/11/2021 15:10,20,0.0000041,0.0000041,0.0000144,
10/11/2021 15:05,20,0.00000405,0.00000405,0.00002592,
10/11/2021 15:00,20,0.00000396,0.00000396,0.00001728,
10/11/2021 14:55,20,0.0000039,0.0000039,0.00002592,
